Date,Lunar_Longitude
1963-290,283.2
1963-291,295.39
1963-292,307.58
1963-293,319.77
1963-294,331.96
1963-295,344.15
1963-296,356.34
1963-297,8.53
1963-298,20.72
1963-299,32.92
1963-300,45.11
1963-301,57.3
1963-302,69.49
1963-303,81.68
1963-304,93.87
1963-305,106.06
1963-306,118.25
1963-307,130.44
1963-308,142.63
1963-309,154.83
1963-310,167.02
1963-311,179.21
1963-312,191.4
1963-313,203.59
1963-314,215.78
1963-315,227.97
1963-316,240.16
1963-317,252.35
1963-318,264.54
1963-319,276.74
1963-320,288.93
1963-321,301.12
1963-322,313.31
1963-323,325.5
1963-324,337.69
1963-325,349.88
1963-326,2.07
1963-327,14.26
1963-328,26.45
1963-329,38.65
1963-330,50.84
1963-331,63.03
1963-332,75.22
1963-333,87.41
1963-334,99.6
1963-335,111.79
1963-336,123.98
1963-337,136.17
1963-338,148.36
1963-339,160.56
1963-340,172.75
1963-341,184.94
1963-342,197.13
1963-343,209.32
1963-344,221.51
1963-345,233.7
1963-346,245.89
1963-347,258.08
1963-348,270.27
1963-349,282.47
1963-350,294.66
1963-351,306.85
1963-352,319.04
1963-353,331.23
1963-354,343.42
1963-355,355.61
1963-356,7.8
1963-357,19.99
1963-358,32.18
1963-359,44.38
1963-360,56.57
1963-361,68.76
1963-362,80.95
1963-363,93.14
1963-364,105.33
1963-365,117.52
1964-001,0.0
1964-002,12.19
1964-003,24.38
1964-004,36.57
1964-005,48.76
1964-006,60.95
1964-007,73.15
1964-008,85.34
1964-009,97.53
1964-010,109.72
1964-011,121.91
1964-012,134.1
1964-013,146.29
1964-014,158.48
1964-015,170.67
1964-016,182.86
1964-017,195.06
1964-018,207.25
1964-019,219.44
1964-020,231.63
1964-021,243.82
1964-022,256.01
1964-023,268.2
1964-024,280.39
1964-025,292.58
1964-026,304.77
1964-027,316.97
1964-028,329.16
1964-029,341.35
1964-030,353.54
1964-031,5.73
1964-032,17.92
1964-033,30.11
1964-034,42.3
1964-035,54.49
1964-036,66.68
1964-037,78.88
1964-038,91.07
1964-039,103.26
1964-040,115.45
1964-041,127.64
1964-042,139.83
1964-043,152.02
1964-044,164.21
1964-045,176.4
1964-046,188.59
1964-047,200.79
1964-048,212.98
1964-049,225.17
1964-050,237.36
1964-051,249.55
1964-052,261.74
1964-053,273.93
1964-054,286.12
1964-055,298.31
1964-056,310.5
1964-057,322.7
1964-058,334.89
1964-059,347.08
1964-060,359.27
1964-061,11.46
1964-062,23.65
1964-063,35.84
1964-064,48.03
1964-065,60.22
1964-066,72.41
1964-067,84.61
1964-068,96.8
1964-069,108.99
1964-070,121.18
1964-071,133.37
1964-072,145.56
1964-073,157.75
1964-074,169.94
1964-075,182.13
1964-076,194.32
1964-077,206.52
1964-078,218.71
1964-079,230.9
1964-080,243.09
1964-081,255.28
1964-082,267.47
1964-083,279.66
1964-084,291.85
1964-085,304.04
1964-086,316.23
1964-087,328.43
1964-088,340.62
1964-089,352.81
1964-090,5.0
1964-091,17.19
1964-092,29.38
1964-093,41.57
1964-094,53.76
1964-095,65.95
1964-096,78.14
1964-097,90.34
1964-098,102.53
1964-099,114.72
1964-100,126.91
1964-101,139.1
1964-102,151.29
1964-103,163.48
1964-104,175.67
1964-105,187.86
1964-106,200.05
1964-107,212.25
1964-108,224.44
1964-109,236.63
1964-110,248.82
1964-111,261.01
1964-112,273.2
1964-113,285.39
1964-114,297.58
1964-115,309.77
1964-116,321.96
1964-117,334.16
1964-118,346.35
1964-119,358.54
1964-120,10.73
1964-121,22.92
1964-122,35.11
1964-123,47.3
1964-124,59.49
1964-125,71.68
1964-126,83.87
1964-127,96.07
1964-128,108.26
1964-129,120.45
1964-130,132.64
1964-131,144.83
1964-132,157.02
1964-133,169.21
1964-134,181.4
1964-135,193.59
1964-136,205.78
1964-137,217.97
1964-138,230.17
1964-139,242.36
1964-140,254.55
1964-141,266.74
1964-142,278.93
1964-143,291.12
1964-144,303.31
1964-145,315.5
1964-146,327.69
1964-147,339.88
1964-148,352.08
1964-149,4.27
1964-150,16.46
1964-151,28.65
1964-152,40.84
1964-153,53.03
1964-154,65.22
1964-155,77.41
1964-156,89.6
1964-157,101.79
1964-158,113.99
1964-159,126.18
1964-160,138.37
1964-161,150.56
1964-162,162.75
1964-163,174.94
1964-164,187.13
1964-165,199.32
1964-166,211.51
1964-167,223.7
1964-168,235.9
1964-169,248.09
1964-170,260.28
1964-171,272.47
1964-172,284.66
1964-173,296.85
1964-174,309.04
1964-175,321.23
1964-176,333.42
1964-177,345.61
1964-178,357.81
1964-179,10.0
1964-180,22.19
1964-181,34.38
1964-182,46.57
1964-183,58.76
1964-184,70.95
1964-185,83.14
1964-186,95.33
1964-187,107.52
1964-188,119.72
1964-189,131.91
1964-190,144.1
1964-191,156.29
1964-192,168.48
1964-193,180.67
1964-194,192.86
1964-195,205.05
1964-196,217.24
1964-197,229.43
1964-198,241.63
1964-199,253.82
1964-200,266.01
1964-201,278.2
1964-202,290.39
1964-203,302.58
1964-204,314.77
1964-205,326.96
1964-206,339.15
1964-207,351.34
1964-208,3.54
1964-209,15.73
1964-210,27.92
1964-211,40.11
1964-212,52.3
1964-213,64.49
1964-214,76.68
1964-215,88.87
1964-216,101.06
1964-217,113.25
1964-218,125.45
1964-219,137.64
1964-220,149.83
1964-221,162.02
1964-222,174.21
1964-223,186.4
1964-224,198.59
1964-225,210.78
1964-226,222.97
1964-227,235.16
1964-228,247.36
1964-229,259.55
1964-230,271.74
1964-231,283.93
1964-232,296.12
1964-233,308.31
1964-234,320.5
1964-235,332.69
1964-236,344.88
1964-237,357.07
1964-238,9.27
1964-239,21.46
1964-240,33.65
1964-241,45.84
1964-242,58.03
1964-243,70.22
1964-244,82.41
1964-245,94.6
1964-246,106.79
1964-247,118.98
1964-248,131.18
1964-249,143.37
1964-250,155.56
1964-251,167.75
1964-252,179.94
1964-253,192.13
1964-254,204.32
1964-255,216.51
1964-256,228.7
1964-257,240.89
1964-258,253.08
1964-259,265.28
1964-260,277.47
1964-261,289.66
1964-262,301.85
1964-263,314.04
1964-264,326.23
1964-265,338.42
1964-266,350.61
1964-267,2.8
1964-268,14.99
1964-269,27.19
1964-270,39.38
1964-271,51.57
1964-272,63.76
1964-273,75.95
1964-274,88.14
1964-275,100.33
1964-276,112.52
1964-277,124.71
1964-278,136.9
1964-279,149.1
1964-280,161.29
1964-281,173.48
1964-282,185.67
1964-283,197.86
1964-284,210.05
1964-285,222.24
1964-286,234.43
1964-287,246.62
1964-288,258.81
1964-289,271.01
1964-290,283.2
1964-291,295.39
1964-292,307.58
1964-293,319.77
1964-294,331.96
1964-295,344.15
1964-296,356.34
1964-297,8.53
1964-298,20.72
1964-299,32.92
1964-300,45.11
1964-301,57.3
1964-302,69.49
1964-303,81.68
1964-304,93.87
1964-305,106.06
1964-306,118.25
1964-307,130.44
1964-308,142.63
1964-309,154.83
1964-310,167.02
1964-311,179.21
1964-312,191.4
1964-313,203.59
1964-314,215.78
1964-315,227.97
1964-316,240.16
1964-317,252.35
1964-318,264.54
1964-319,276.74
1964-320,288.93
1964-321,301.12
1964-322,313.31
1964-323,325.5
1964-324,337.69
1964-325,349.88
1964-326,2.07
1964-327,14.26
1964-328,26.45
1964-329,38.65
1964-330,50.84
1964-331,63.03
1964-332,75.22
1964-333,87.41
1964-334,99.6
1964-335,111.79
1964-336,123.98
1964-337,136.17
1964-338,148.36
1964-339,160.56
1964-340,172.75
1964-341,184.94
1964-342,197.13
1964-343,209.32
1964-344,221.51
1964-345,233.7
1964-346,245.89
1964-347,258.08
1964-348,270.27
1964-349,282.47
1964-350,294.66
1964-351,306.85
1964-352,319.04
1964-353,331.23
1964-354,343.42
1964-355,355.61
1964-356,7.8
1964-357,19.99
1964-358,32.18
1964-359,44.38
1964-360,56.57
1964-361,68.76
1964-362,80.95
1964-363,93.14
1964-364,105.33
1964-365,117.52
1965-001,0.0
1965-002,12.19
1965-003,24.38
1965-004,36.57
1965-005,48.76
1965-006,60.95
1965-007,73.15
1965-008,85.34
1965-009,97.53
1965-010,109.72
1965-011,121.91
1965-012,134.1
1965-013,146.29
1965-014,158.48
1965-015,170.67
1965-016,182.86
1965-017,195.06
1965-018,207.25
1965-019,219.44
1965-020,231.63
1965-021,243.82
1965-022,256.01
1965-023,268.2
1965-024,280.39
1965-025,292.58
1965-026,304.77
1965-027,316.97
1965-028,329.16
1965-029,341.35
1965-030,353.54
1965-031,5.73
1965-032,17.92
1965-033,30.11
1965-034,42.3
1965-035,54.49
1965-036,66.68
1965-037,78.88
1965-038,91.07
1965-039,103.26
1965-040,115.45
1965-041,127.64
1965-042,139.83
1965-043,152.02
1965-044,164.21
1965-045,176.4
1965-046,188.59
1965-047,200.79
1965-048,212.98
1965-049,225.17
1965-050,237.36
1965-051,249.55
1965-052,261.74
1965-053,273.93
1965-054,286.12
1965-055,298.31
1965-056,310.5
1965-057,322.7
1965-058,334.89
1965-059,347.08
1965-060,359.27
1965-061,11.46
1965-062,23.65
1965-063,35.84
1965-064,48.03
1965-065,60.22
1965-066,72.41
1965-067,84.61
1965-068,96.8
1965-069,108.99
1965-070,121.18
1965-071,133.37
1965-072,145.56
1965-073,157.75
1965-074,169.94
1965-075,182.13
1965-076,194.32
1965-077,206.52
1965-078,218.71
1965-079,230.9
1965-080,243.09
1965-081,255.28
1965-082,267.47
1965-083,279.66
1965-084,291.85
1965-085,304.04
1965-086,316.23
1965-087,328.43
1965-088,340.62
1965-089,352.81
1965-090,5.0
1965-091,17.19
1965-092,29.38
1965-093,41.57
1965-094,53.76
1965-095,65.95
1965-096,78.14
1965-097,90.34
1965-098,102.53
1965-099,114.72
1965-100,126.91
1965-101,139.1
1965-102,151.29
1965-103,163.48
1965-104,175.67
1965-105,187.86
1965-106,200.05
1965-107,212.25
1965-108,224.44
1965-109,236.63
1965-110,248.82
1965-111,261.01
1965-112,273.2
1965-113,285.39
1965-114,297.58
1965-115,309.77
1965-116,321.96
1965-117,334.16
1965-118,346.35
1965-119,358.54
1965-120,10.73
1965-121,22.92
1965-122,35.11
1965-123,47.3
1965-124,59.49
1965-125,71.68
1965-126,83.87
1965-127,96.07
1965-128,108.26
1965-129,120.45
1965-130,132.64
1965-131,144.83
1965-132,157.02
1965-133,169.21
1965-134,181.4
1965-135,193.59
1965-136,205.78
1965-137,217.97
1965-138,230.17
1965-139,242.36
1965-140,254.55
1965-141,266.74
1965-142,278.93
1965-143,291.12
1965-144,303.31
1965-145,315.5
1965-146,327.69
1965-147,339.88
1965-148,352.08
1965-149,4.27
1965-150,16.46
1965-151,28.65
1965-152,40.84
1965-153,53.03
1965-154,65.22
1965-155,77.41
1965-156,89.6
1965-157,101.79
1965-158,113.99
1965-159,126.18
1965-160,138.37
1965-161,150.56
1965-162,162.75
1965-163,174.94
1965-164,187.13
1965-165,199.32
1965-166,211.51
1965-167,223.7
1965-168,235.9
1965-169,248.09
1965-170,260.28
1965-171,272.47
1965-172,284.66
1965-173,296.85
1965-174,309.04
1965-175,321.23
1965-176,333.42
1965-177,345.61
1965-178,357.81
1965-179,10.0
1965-180,22.19
1965-181,34.38
1965-182,46.57
1965-183,58.76
1965-184,70.95
1965-185,83.14
1965-186,95.33
1965-187,107.52
1965-188,119.72
1965-189,131.91
1965-190,144.1
1965-191,156.29
1965-192,168.48
1965-193,180.67
1965-194,192.86
1965-195,205.05
1965-196,217.24
1965-197,229.43
1965-198,241.63
1965-199,253.82
1965-200,266.01
1965-201,278.2
1965-202,290.39
1965-203,302.58
1965-204,314.77
1965-205,326.96
1965-206,339.15
1965-207,351.34
1965-208,3.54
1965-209,15.73
1965-210,27.92
1965-211,40.11
1965-212,52.3
1965-213,64.49
1965-214,76.68
1965-215,88.87
1965-216,101.06
1965-217,113.25
1965-218,125.45
1965-219,137.64
1965-220,149.83
1965-221,162.02
1965-222,174.21
1965-223,186.4
1965-224,198.59
1965-225,210.78
1965-226,222.97
1965-227,235.16
1965-228,247.36
1965-229,259.55
1965-230,271.74
1965-231,283.93
1965-232,296.12
1965-233,308.31
1965-234,320.5
1965-235,332.69
1965-236,344.88
1965-237,357.07
1965-238,9.27
1965-239,21.46
1965-240,33.65
1965-241,45.84
1965-242,58.03
1965-243,70.22
1965-244,82.41
1965-245,94.6
1965-246,106.79
1965-247,118.98
1965-248,131.18
1965-249,143.37
1965-250,155.56
1965-251,167.75
1965-252,179.94
1965-253,192.13
1965-254,204.32
1965-255,216.51
1965-256,228.7
1965-257,240.89
1965-258,253.08
1965-259,265.28
1965-260,277.47
1965-261,289.66
1965-262,301.85
1965-263,314.04
1965-264,326.23
1965-265,338.42
1965-266,350.61
1965-267,2.8
1965-268,14.99
1965-269,27.19
1965-270,39.38
1965-271,51.57
1965-272,63.76
1965-273,75.95
1965-274,88.14
1965-275,100.33
1965-276,112.52
1965-277,124.71
1965-278,136.9
1965-279,149.1
1965-280,161.29
1965-281,173.48
1965-282,185.67
1965-283,197.86
1965-284,210.05
1965-285,222.24
1965-286,234.43
1965-287,246.62
1965-288,258.81
1965-289,271.01
1965-290,283.2
1965-291,295.39
1965-292,307.58
1965-293,319.77
1965-294,331.96
1965-295,344.15
1965-296,356.34
1965-297,8.53
1965-298,20.72
1965-299,32.92
1965-300,45.11
1965-301,57.3
1965-302,69.49
1965-303,81.68
1965-304,93.87
1965-305,106.06
1965-306,118.25
1965-307,130.44
1965-308,142.63
1965-309,154.83
1965-310,167.02
1965-311,179.21
1965-312,191.4
1965-313,203.59
1965-314,215.78
1965-315,227.97
1965-316,240.16
1965-317,252.35
1965-318,264.54
1965-319,276.74
1965-320,288.93
1965-321,301.12
1965-322,313.31
1965-323,325.5
1965-324,337.69
1965-325,349.88
1965-326,2.07
1965-327,14.26
1965-328,26.45
1965-329,38.65
1965-330,50.84
1965-331,63.03
1965-332,75.22
1965-333,87.41
1965-334,99.6
1965-335,111.79
1965-336,123.98
1965-337,136.17
1965-338,148.36
1965-339,160.56
1965-340,172.75
1965-341,184.94
1965-342,197.13
1965-343,209.32
1965-344,221.51
1965-345,233.7
1965-346,245.89
1965-347,258.08
1965-348,270.27
1965-349,282.47
1965-350,294.66
1965-351,306.85
1965-352,319.04
1965-353,331.23
1965-354,343.42
1965-355,355.61
1965-356,7.8
1965-357,19.99
1965-358,32.18
1965-359,44.38
1965-360,56.57
1965-361,68.76
1965-362,80.95
1965-363,93.14
1965-364,105.33
1965-365,117.52
1966-001,0.0
1966-002,12.19
1966-003,24.38
1966-004,36.57
1966-005,48.76
1966-006,60.95
1966-007,73.15
1966-008,85.34
1966-009,97.53
1966-010,109.72
1966-011,121.91
1966-012,134.1
1966-013,146.29
1966-014,158.48
1966-015,170.67
1966-016,182.86
1966-017,195.06
1966-018,207.25
1966-019,219.44
1966-020,231.63
1966-021,243.82
1966-022,256.01
1966-023,268.2
1966-024,280.39
1966-025,292.58
1966-026,304.77
1966-027,316.97
1966-028,329.16
1966-029,341.35
1966-030,353.54
1966-031,5.73
1966-032,17.92
1966-033,30.11
1966-034,42.3
1966-035,54.49
1966-036,66.68
1966-037,78.88
1966-038,91.07
1966-039,103.26
1966-040,115.45
1966-041,127.64
1966-042,139.83
1966-043,152.02
1966-044,164.21
1966-045,176.4
1966-046,188.59
1966-047,200.79
1966-048,212.98
1966-049,225.17
1966-050,237.36
1966-051,249.55
1966-052,261.74
1966-053,273.93
1966-054,286.12
1966-055,298.31
1966-056,310.5
1966-057,322.7
1966-058,334.89
1966-059,347.08
1966-060,359.27
1966-061,11.46
1966-062,23.65
1966-063,35.84
1966-064,48.03
1966-065,60.22
1966-066,72.41
1966-067,84.61
1966-068,96.8
1966-069,108.99
1966-070,121.18
1966-071,133.37
1966-072,145.56
1966-073,157.75
1966-074,169.94
1966-075,182.13
1966-076,194.32
1966-077,206.52
1966-078,218.71
1966-079,230.9
1966-080,243.09
1966-081,255.28
1966-082,267.47
1966-083,279.66
1966-084,291.85
1966-085,304.04
1966-086,316.23
1966-087,328.43
1966-088,340.62
1966-089,352.81
1966-090,5.0
1966-091,17.19
1966-092,29.38
1966-093,41.57
1966-094,53.76
1966-095,65.95
1966-096,78.14
1966-097,90.34
1966-098,102.53
1966-099,114.72
1966-100,126.91
1966-101,139.1
1966-102,151.29
1966-103,163.48
1966-104,175.67
1966-105,187.86
1966-106,200.05
1966-107,212.25
1966-108,224.44
1966-109,236.63
1966-110,248.82
1966-111,261.01
1966-112,273.2
1966-113,285.39
1966-114,297.58
1966-115,309.77
1966-116,321.96
1966-117,334.16
1966-118,346.35
1966-119,358.54
1966-120,10.73
1966-121,22.92
1966-122,35.11
1966-123,47.3
1966-124,59.49
1966-125,71.68
1966-126,83.87
1966-127,96.07
1966-128,108.26
1966-129,120.45
1966-130,132.64
1966-131,144.83
1966-132,157.02
1966-133,169.21
1966-134,181.4
1966-135,193.59
1966-136,205.78
1966-137,217.97
1966-138,230.17
1966-139,242.36
1966-140,254.55
1966-141,266.74
1966-142,278.93
1966-143,291.12
1966-144,303.31
1966-145,315.5
1966-146,327.69
1966-147,339.88
1966-148,352.08
1966-149,4.27
1966-150,16.46
1966-151,28.65
1966-152,40.84
1966-153,53.03
1966-154,65.22
1966-155,77.41
1966-156,89.6
1966-157,101.79
1966-158,113.99
1966-159,126.18
1966-160,138.37
1966-161,150.56
1966-162,162.75
1966-163,174.94
1966-164,187.13
1966-165,199.32
1966-166,211.51
1966-167,223.7
1966-168,235.9
1966-169,248.09
1966-170,260.28
1966-171,272.47
1966-172,284.66
1966-173,296.85
1966-174,309.04
1966-175,321.23
1966-176,333.42
1966-177,345.61
1966-178,357.81
1966-179,10.0
1966-180,22.19
1966-181,34.38
1966-182,46.57
1966-183,58.76
1966-184,70.95
1966-185,83.14
1966-186,95.33
1966-187,107.52
1966-188,119.72
1966-189,131.91
1966-190,144.1
1966-191,156.29
1966-192,168.48
1966-193,180.67
1966-194,192.86
1966-195,205.05
1966-196,217.24
1966-197,229.43
1966-198,241.63
1966-199,253.82
1966-200,266.01
1966-201,278.2
1966-202,290.39
1966-203,302.58
1966-204,314.77
1966-205,326.96
1966-206,339.15
1966-207,351.34
1966-208,3.54
1966-209,15.73
1966-210,27.92
1966-211,40.11
1966-212,52.3
1966-213,64.49
1966-214,76.68
1966-215,88.87
1966-216,101.06
1966-217,113.25
1966-218,125.45
1966-219,137.64
1966-220,149.83
1966-221,162.02
1966-222,174.21
1966-223,186.4
1966-224,198.59
1966-225,210.78
1966-226,222.97
1966-227,235.16
1966-228,247.36
1966-229,259.55
1966-230,271.74
1966-231,283.93
1966-232,296.12
1966-233,308.31
1966-234,320.5
1966-235,332.69
1966-236,344.88
1966-237,357.07
1966-238,9.27
1966-239,21.46
1966-240,33.65
1966-241,45.84
1966-242,58.03
1966-243,70.22
1966-244,82.41
1966-245,94.6
1966-246,106.79
1966-247,118.98
1966-248,131.18
1966-249,143.37
1966-250,155.56
1966-251,167.75
1966-252,179.94
1966-253,192.13
1966-254,204.32
1966-255,216.51
1966-256,228.7
1966-257,240.89
1966-258,253.08
1966-259,265.28
1966-260,277.47
1966-261,289.66
1966-262,301.85
1966-263,314.04
1966-264,326.23
1966-265,338.42
1966-266,350.61
1966-267,2.8
1966-268,14.99
1966-269,27.19
1966-270,39.38
1966-271,51.57
1966-272,63.76
1966-273,75.95
1966-274,88.14
1966-275,100.33
1966-276,112.52
1966-277,124.71
1966-278,136.9
1966-279,149.1
1966-280,161.29
1966-281,173.48
1966-282,185.67
1966-283,197.86
1966-284,210.05
1966-285,222.24
1966-286,234.43
1966-287,246.62
1966-288,258.81
1966-289,271.01
1966-290,283.2
1966-291,295.39
1966-292,307.58
1966-293,319.77
1966-294,331.96
1966-295,344.15
1966-296,356.34
1966-297,8.53
1966-298,20.72
1966-299,32.92
1966-300,45.11
1966-301,57.3
1966-302,69.49
1966-303,81.68
1966-304,93.87
1966-305,106.06
1966-306,118.25
1966-307,130.44
1966-308,142.63
1966-309,154.83
1966-310,167.02
1966-311,179.21
1966-312,191.4
1966-313,203.59
1966-314,215.78
1966-315,227.97
1966-316,240.16
1966-317,252.35
1966-318,264.54
1966-319,276.74
1966-320,288.93
1966-321,301.12
1966-322,313.31
1966-323,325.5
1966-324,337.69
1966-325,349.88
1966-326,2.07
1966-327,14.26
1966-328,26.45
1966-329,38.65
1966-330,50.84
1966-331,63.03
1966-332,75.22
1966-333,87.41
1966-334,99.6
1966-335,111.79
1966-336,123.98
1966-337,136.17
1966-338,148.36
1966-339,160.56
1966-340,172.75
1966-341,184.94
1966-342,197.13
1966-343,209.32
1966-344,221.51
1966-345,233.7
1966-346,245.89
1966-347,258.08
1966-348,270.27
1966-349,282.47
1966-350,294.66
1966-351,306.85
1966-352,319.04
1966-353,331.23
1966-354,343.42
1966-355,355.61
1966-356,7.8
1966-357,19.99
1966-358,32.18
1966-359,44.38
1966-360,56.57
1966-361,68.76
1966-362,80.95
1966-363,93.14
1966-364,105.33
1966-365,117.52
1967-001,0.0
1967-002,12.19
1967-003,24.38
1967-004,36.57
1967-005,48.76
1967-006,60.95
1967-007,73.15
1967-008,85.34
1967-009,97.53
1967-010,109.72
1967-011,121.91
1967-012,134.1
1967-013,146.29
1967-014,158.48
1967-015,170.67
1967-016,182.86
1967-017,195.06
1967-018,207.25
1967-019,219.44
1967-020,231.63
1967-021,243.82
1967-022,256.01
1967-023,268.2
1967-024,280.39
1967-025,292.58
1967-026,304.77
1967-027,316.97
1967-028,329.16
1967-029,341.35
1967-030,353.54
1967-031,5.73
1967-032,17.92
1967-033,30.11
1967-034,42.3
1967-035,54.49
1967-036,66.68
1967-037,78.88
1967-038,91.07
1967-039,103.26
1967-040,115.45
1967-041,127.64
1967-042,139.83
1967-043,152.02
1967-044,164.21
1967-045,176.4
1967-046,188.59
1967-047,200.79
1967-048,212.98
1967-049,225.17
1967-050,237.36
1967-051,249.55
1967-052,261.74
1967-053,273.93
1967-054,286.12
1967-055,298.31
1967-056,310.5
1967-057,322.7
1967-058,334.89
1967-059,347.08
1967-060,359.27
1967-061,11.46
1967-062,23.65
1967-063,35.84
1967-064,48.03
1967-065,60.22
1967-066,72.41
1967-067,84.61
1967-068,96.8
1967-069,108.99
1967-070,121.18
1967-071,133.37
1967-072,145.56
1967-073,157.75
1967-074,169.94
1967-075,182.13
1967-076,194.32
1967-077,206.52
1967-078,218.71
1967-079,230.9
1967-080,243.09
1967-081,255.28
1967-082,267.47
1967-083,279.66
1967-084,291.85
1967-085,304.04
1967-086,316.23
1967-087,328.43
1967-088,340.62
1967-089,352.81
1967-090,5.0
1967-091,17.19
1967-092,29.38
1967-093,41.57
1967-094,53.76
1967-095,65.95
1967-096,78.14
1967-097,90.34
1967-098,102.53
1967-099,114.72
1967-100,126.91
1967-101,139.1
1967-102,151.29
1967-103,163.48
1967-104,175.67
1967-105,187.86
1967-106,200.05
1967-107,212.25
1967-108,224.44
1967-109,236.63
1967-110,248.82
1967-111,261.01
1967-112,273.2
1967-113,285.39
1967-114,297.58
1967-115,309.77
1967-116,321.96
1967-117,334.16
1967-118,346.35
1967-119,358.54
1967-120,10.73
1967-121,22.92
1967-122,35.11
1967-123,47.3
1967-124,59.49
1967-125,71.68
1967-126,83.87
1967-127,96.07
1967-128,108.26
1967-129,120.45
1967-130,132.64
1967-131,144.83
1967-132,157.02
1967-133,169.21
1967-134,181.4
1967-135,193.59
1967-136,205.78
1967-137,217.97
1967-138,230.17
1967-139,242.36
1967-140,254.55
1967-141,266.74
1967-142,278.93
1967-143,291.12
1967-144,303.31
1967-145,315.5
1967-146,327.69
1967-147,339.88
1967-148,352.08
1967-149,4.27
1967-150,16.46
1967-151,28.65
1967-152,40.84
1967-153,53.03
1967-154,65.22
1967-155,77.41
1967-156,89.6
1967-157,101.79
1967-158,113.99
1967-159,126.18
1967-160,138.37
1967-161,150.56
1967-162,162.75
1967-163,174.94
1967-164,187.13
1967-165,199.32
1967-166,211.51
1967-167,223.7
1967-168,235.9
1967-169,248.09
1967-170,260.28
1967-171,272.47
1967-172,284.66
1967-173,296.85
1967-174,309.04
1967-175,321.23
1967-176,333.42
1967-177,345.61
1967-178,357.81
1967-179,10.0
1967-180,22.19
1967-181,34.38
1967-182,46.57
1967-183,58.76
1967-184,70.95
1967-185,83.14
1967-186,95.33
1967-187,107.52
1967-188,119.72
1967-189,131.91
1967-190,144.1
1967-191,156.29
1967-192,168.48
1967-193,180.67
1967-194,192.86
1967-195,205.05
1967-196,217.24
1967-197,229.43
1967-198,241.63
1967-199,253.82
1967-200,266.01
1967-201,278.2
1967-202,290.39
1967-203,302.58
1967-204,314.77
1967-205,326.96
1967-206,339.15
1967-207,351.34
1967-208,3.54
1967-209,15.73
1967-210,27.92
1967-211,40.11
1967-212,52.3
1967-213,64.49
1967-214,76.68
1967-215,88.87
1967-216,101.06
1967-217,113.25
1967-218,125.45
1967-219,137.64
1967-220,149.83
1967-221,162.02
1967-222,174.21
1967-223,186.4
1967-224,198.59
1967-225,210.78
1967-226,222.97
1967-227,235.16
1967-228,247.36
1967-229,259.55
1967-230,271.74
1967-231,283.93
1967-232,296.12
1967-233,308.31
1967-234,320.5
1967-235,332.69
1967-236,344.88
1967-237,357.07
1967-238,9.27
1967-239,21.46
1967-240,33.65
1967-241,45.84
1967-242,58.03
1967-243,70.22
1967-244,82.41
1967-245,94.6
1967-246,106.79
1967-247,118.98
1967-248,131.18
1967-249,143.37
1967-250,155.56
1967-251,167.75
1967-252,179.94
1967-253,192.13
1967-254,204.32
1967-255,216.51
1967-256,228.7
1967-257,240.89
1967-258,253.08
1967-259,265.28
1967-260,277.47
1967-261,289.66
1967-262,301.85
1967-263,314.04
1967-264,326.23
1967-265,338.42
1967-266,350.61
1967-267,2.8
1967-268,14.99
1967-269,27.19
1967-270,39.38
1967-271,51.57
1967-272,63.76
1967-273,75.95
1967-274,88.14
1967-275,100.33
1967-276,112.52
1967-277,124.71
1967-278,136.9
1967-279,149.1
1967-280,161.29
1967-281,173.48
1967-282,185.67
1967-283,197.86
1967-284,210.05
1967-285,222.24
1967-286,234.43
1967-287,246.62
1967-288,258.81
1967-289,271.01
1967-290,283.2
1967-291,295.39
1967-292,307.58
1967-293,319.77
1967-294,331.96
1967-295,344.15
1967-296,356.34
1967-297,8.53
1967-298,20.72
1967-299,32.92
1967-300,45.11
1967-301,57.3
1967-302,69.49
1967-303,81.68
1967-304,93.87
1967-305,106.06
1967-306,118.25
1967-307,130.44
1967-308,142.63
1967-309,154.83
1967-310,167.02
1967-311,179.21
1967-312,191.4
1967-313,203.59
1967-314,215.78
1967-315,227.97
1967-316,240.16
1967-317,252.35
1967-318,264.54
1967-319,276.74
1967-320,288.93
1967-321,301.12
1967-322,313.31
1967-323,325.5
1967-324,337.69
1967-325,349.88
1967-326,2.07
1967-327,14.26
1967-328,26.45
1967-329,38.65
1967-330,50.84
1967-331,63.03
1967-332,75.22
1967-333,87.41
1967-334,99.6
1967-335,111.79
1967-336,123.98
1967-337,136.17
1967-338,148.36
1967-339,160.56
1967-340,172.75
1967-341,184.94
1967-342,197.13
1967-343,209.32
1967-344,221.51
1967-345,233.7
1967-346,245.89
1967-347,258.08
1967-348,270.27
1967-349,282.47
1967-350,294.66
1967-351,306.85
1967-352,319.04
1967-353,331.23
1967-354,343.42
1967-355,355.61
1967-356,7.8
1967-357,19.99
1967-358,32.18
1967-359,44.38
1967-360,56.57
1967-361,68.76
1967-362,80.95
1967-363,93.14
1967-364,105.33
1967-365,117.52
1968-001,0.0
1968-002,12.19
1968-003,24.38
1968-004,36.57
1968-005,48.76
1968-006,60.95
1968-007,73.15
1968-008,85.34
1968-009,97.53
1968-010,109.72
1968-011,121.91
1968-012,134.1
1968-013,146.29
1968-014,158.48
1968-015,170.67
1968-016,182.86
1968-017,195.06
1968-018,207.25
