Date,Solar_Longitude
1963-209,205.15
1963-210,206.14
1963-211,207.12
1963-212,208.11
1963-213,209.1
1963-214,210.08
1963-215,211.07
1963-216,212.05
1963-217,213.04
1963-218,214.03
1963-219,215.01
1963-220,216.0
1963-221,216.99
1963-222,217.97
1963-223,218.96
1963-224,219.95
1963-225,220.93
1963-226,221.92
1963-227,222.9
1963-228,223.89
1963-229,224.88
1963-230,225.86
1963-231,226.85
1963-232,227.84
1963-233,228.82
1963-234,229.81
1963-235,230.79
1963-236,231.78
1963-237,232.77
1963-238,233.75
1963-239,234.74
1963-240,235.73
1963-241,236.71
1963-242,237.7
1963-243,238.68
1963-244,239.67
1963-245,240.66
1963-246,241.64
1963-247,242.63
1963-248,243.62
1963-249,244.6
1963-250,245.59
1963-251,246.58
1963-252,247.56
1963-253,248.55
1963-254,249.53
1963-255,250.52
1963-256,251.51
1963-257,252.49
1963-258,253.48
1963-259,254.47
1963-260,255.45
1963-261,256.44
1963-262,257.42
1963-263,258.41
1963-264,259.4
1963-265,260.38
1963-266,261.37
1963-267,262.36
1963-268,263.34
1963-269,264.33
1963-270,265.32
1963-271,266.3
1963-272,267.29
1963-273,268.27
1963-274,269.26
1963-275,270.25
1963-276,271.23
1963-277,272.22
1963-278,273.21
1963-279,274.19
1963-280,275.18
1963-281,276.16
1963-282,277.15
1963-283,278.14
1963-284,279.12
1963-285,280.11
1963-286,281.1
1963-287,282.08
1963-288,283.07
1963-289,284.05
1963-290,285.04
1963-291,286.03
1963-292,287.01
1963-293,288.0
1963-294,288.99
1963-295,289.97
1963-296,290.96
1963-297,291.95
1963-298,292.93
1963-299,293.92
1963-300,294.9
1963-301,295.89
1963-302,296.88
1963-303,297.86
1963-304,298.85
1963-305,299.84
1963-306,300.82
1963-307,301.81
1963-308,302.79
1963-309,303.78
1963-310,304.77
1963-311,305.75
1963-312,306.74
1963-313,307.73
1963-314,308.71
1963-315,309.7
1963-316,310.68
1963-317,311.67
1963-318,312.66
1963-319,313.64
1963-320,314.63
1963-321,315.62
1963-322,316.6
1963-323,317.59
1963-324,318.58
1963-325,319.56
1963-326,320.55
1963-327,321.53
1963-328,322.52
1963-329,323.51
1963-330,324.49
1963-331,325.48
1963-332,326.47
1963-333,327.45
1963-334,328.44
1963-335,329.42
1963-336,330.41
1963-337,331.4
1963-338,332.38
1963-339,333.37
1963-340,334.36
1963-341,335.34
1963-342,336.33
1963-343,337.32
1963-344,338.3
1963-345,339.29
1963-346,340.27
1963-347,341.26
1963-348,342.25
1963-349,343.23
1963-350,344.22
1963-351,345.21
1963-352,346.19
1963-353,347.18
1963-354,348.16
1963-355,349.15
1963-356,350.14
1963-357,351.12
1963-358,352.11
1963-359,353.1
1963-360,354.08
1963-361,355.07
1963-362,356.05
1963-363,357.04
1963-364,358.03
1963-365,359.01
1964-001,0.0
1964-002,0.99
1964-003,1.97
1964-004,2.96
1964-005,3.95
1964-006,4.93
1964-007,5.92
1964-008,6.9
1964-009,7.89
1964-010,8.88
1964-011,9.86
1964-012,10.85
1964-013,11.84
1964-014,12.82
1964-015,13.81
1964-016,14.79
1964-017,15.78
1964-018,16.77
1964-019,17.75
1964-020,18.74
1964-021,19.73
1964-022,20.71
1964-023,21.7
1964-024,22.68
1964-025,23.67
1964-026,24.66
1964-027,25.64
1964-028,26.63
1964-029,27.62
1964-030,28.6
1964-031,29.59
1964-032,30.58
1964-033,31.56
1964-034,32.55
1964-035,33.53
1964-036,34.52
1964-037,35.51
1964-038,36.49
1964-039,37.48
1964-040,38.47
1964-041,39.45
1964-042,40.44
1964-043,41.42
1964-044,42.41
1964-045,43.4
1964-046,44.38
1964-047,45.37
1964-048,46.36
1964-049,47.34
1964-050,48.33
1964-051,49.32
1964-052,50.3
1964-053,51.29
1964-054,52.27
1964-055,53.26
1964-056,54.25
1964-057,55.23
1964-058,56.22
1964-059,57.21
1964-060,58.19
1964-061,59.18
1964-062,60.16
1964-063,61.15
1964-064,62.14
1964-065,63.12
1964-066,64.11
1964-067,65.1
1964-068,66.08
1964-069,67.07
1964-070,68.05
1964-071,69.04
1964-072,70.03
1964-073,71.01
1964-074,72.0
1964-075,72.99
1964-076,73.97
1964-077,74.96
1964-078,75.95
1964-079,76.93
1964-080,77.92
1964-081,78.9
1964-082,79.89
1964-083,80.88
1964-084,81.86
1964-085,82.85
1964-086,83.84
1964-087,84.82
1964-088,85.81
1964-089,86.79
1964-090,87.78
1964-091,88.77
1964-092,89.75
1964-093,90.74
1964-094,91.73
1964-095,92.71
1964-096,93.7
1964-097,94.68
1964-098,95.67
1964-099,96.66
1964-100,97.64
1964-101,98.63
1964-102,99.62
1964-103,100.6
1964-104,101.59
1964-105,102.58
1964-106,103.56
1964-107,104.55
1964-108,105.53
1964-109,106.52
1964-110,107.51
1964-111,108.49
1964-112,109.48
1964-113,110.47
1964-114,111.45
1964-115,112.44
1964-116,113.42
1964-117,114.41
1964-118,115.4
1964-119,116.38
1964-120,117.37
1964-121,118.36
1964-122,119.34
1964-123,120.33
1964-124,121.32
1964-125,122.3
1964-126,123.29
1964-127,124.27
1964-128,125.26
1964-129,126.25
1964-130,127.23
1964-131,128.22
1964-132,129.21
1964-133,130.19
1964-134,131.18
1964-135,132.16
1964-136,133.15
1964-137,134.14
1964-138,135.12
1964-139,136.11
1964-140,137.1
1964-141,138.08
1964-142,139.07
1964-143,140.05
1964-144,141.04
1964-145,142.03
1964-146,143.01
1964-147,144.0
1964-148,144.99
1964-149,145.97
1964-150,146.96
1964-151,147.95
1964-152,148.93
1964-153,149.92
1964-154,150.9
1964-155,151.89
1964-156,152.88
1964-157,153.86
1964-158,154.85
1964-159,155.84
1964-160,156.82
1964-161,157.81
1964-162,158.79
1964-163,159.78
1964-164,160.77
1964-165,161.75
1964-166,162.74
1964-167,163.73
1964-168,164.71
1964-169,165.7
1964-170,166.68
1964-171,167.67
1964-172,168.66
1964-173,169.64
1964-174,170.63
1964-175,171.62
1964-176,172.6
1964-177,173.59
1964-178,174.58
1964-179,175.56
1964-180,176.55
1964-181,177.53
1964-182,178.52
1964-183,179.51
1964-184,180.49
1964-185,181.48
1964-186,182.47
1964-187,183.45
1964-188,184.44
1964-189,185.42
1964-190,186.41
1964-191,187.4
1964-192,188.38
1964-193,189.37
1964-194,190.36
1964-195,191.34
1964-196,192.33
1964-197,193.32
1964-198,194.3
1964-199,195.29
1964-200,196.27
1964-201,197.26
1964-202,198.25
1964-203,199.23
1964-204,200.22
1964-205,201.21
1964-206,202.19
1964-207,203.18
1964-208,204.16
1964-209,205.15
1964-210,206.14
1964-211,207.12
1964-212,208.11
1964-213,209.1
1964-214,210.08
1964-215,211.07
1964-216,212.05
1964-217,213.04
1964-218,214.03
1964-219,215.01
1964-220,216.0
1964-221,216.99
1964-222,217.97
1964-223,218.96
1964-224,219.95
1964-225,220.93
1964-226,221.92
1964-227,222.9
1964-228,223.89
1964-229,224.88
1964-230,225.86
1964-231,226.85
1964-232,227.84
1964-233,228.82
1964-234,229.81
1964-235,230.79
1964-236,231.78
1964-237,232.77
1964-238,233.75
1964-239,234.74
1964-240,235.73
1964-241,236.71
1964-242,237.7
1964-243,238.68
1964-244,239.67
1964-245,240.66
1964-246,241.64
1964-247,242.63
1964-248,243.62
1964-249,244.6
1964-250,245.59
1964-251,246.58
1964-252,247.56
1964-253,248.55
1964-254,249.53
1964-255,250.52
1964-256,251.51
1964-257,252.49
1964-258,253.48
1964-259,254.47
1964-260,255.45
1964-261,256.44
1964-262,257.42
1964-263,258.41
1964-264,259.4
1964-265,260.38
1964-266,261.37
1964-267,262.36
1964-268,263.34
1964-269,264.33
1964-270,265.32
1964-271,266.3
1964-272,267.29
1964-273,268.27
1964-274,269.26
1964-275,270.25
1964-276,271.23
1964-277,272.22
1964-278,273.21
1964-279,274.19
1964-280,275.18
1964-281,276.16
1964-282,277.15
1964-283,278.14
1964-284,279.12
1964-285,280.11
1964-286,281.1
1964-287,282.08
1964-288,283.07
1964-289,284.05
1964-290,285.04
1964-291,286.03
1964-292,287.01
1964-293,288.0
1964-294,288.99
1964-295,289.97
1964-296,290.96
1964-297,291.95
1964-298,292.93
1964-299,293.92
1964-300,294.9
1964-301,295.89
1964-302,296.88
1964-303,297.86
1964-304,298.85
1964-305,299.84
1964-306,300.82
1964-307,301.81
1964-308,302.79
1964-309,303.78
1964-310,304.77
1964-311,305.75
1964-312,306.74
1964-313,307.73
1964-314,308.71
1964-315,309.7
1964-316,310.68
1964-317,311.67
1964-318,312.66
1964-319,313.64
1964-320,314.63
1964-321,315.62
1964-322,316.6
1964-323,317.59
1964-324,318.58
1964-325,319.56
1964-326,320.55
1964-327,321.53
1964-328,322.52
1964-329,323.51
1964-330,324.49
1964-331,325.48
1964-332,326.47
1964-333,327.45
1964-334,328.44
1964-335,329.42
1964-336,330.41
1964-337,331.4
1964-338,332.38
1964-339,333.37
1964-340,334.36
1964-341,335.34
1964-342,336.33
1964-343,337.32
1964-344,338.3
1964-345,339.29
1964-346,340.27
1964-347,341.26
1964-348,342.25
1964-349,343.23
1964-350,344.22
1964-351,345.21
1964-352,346.19
1964-353,347.18
1964-354,348.16
1964-355,349.15
1964-356,350.14
1964-357,351.12
1964-358,352.11
1964-359,353.1
1964-360,354.08
1964-361,355.07
1964-362,356.05
1964-363,357.04
1964-364,358.03
1964-365,359.01
1965-001,0.0
1965-002,0.99
1965-003,1.97
1965-004,2.96
1965-005,3.95
1965-006,4.93
1965-007,5.92
1965-008,6.9
1965-009,7.89
1965-010,8.88
1965-011,9.86
1965-012,10.85
1965-013,11.84
1965-014,12.82
1965-015,13.81
1965-016,14.79
1965-017,15.78
1965-018,16.77
1965-019,17.75
1965-020,18.74
1965-021,19.73
1965-022,20.71
1965-023,21.7
1965-024,22.68
1965-025,23.67
1965-026,24.66
1965-027,25.64
1965-028,26.63
1965-029,27.62
1965-030,28.6
1965-031,29.59
1965-032,30.58
1965-033,31.56
1965-034,32.55
1965-035,33.53
1965-036,34.52
1965-037,35.51
1965-038,36.49
1965-039,37.48
1965-040,38.47
1965-041,39.45
1965-042,40.44
1965-043,41.42
1965-044,42.41
1965-045,43.4
1965-046,44.38
1965-047,45.37
1965-048,46.36
1965-049,47.34
1965-050,48.33
1965-051,49.32
1965-052,50.3
1965-053,51.29
1965-054,52.27
1965-055,53.26
1965-056,54.25
1965-057,55.23
1965-058,56.22
1965-059,57.21
1965-060,58.19
1965-061,59.18
1965-062,60.16
1965-063,61.15
1965-064,62.14
1965-065,63.12
1965-066,64.11
1965-067,65.1
1965-068,66.08
1965-069,67.07
1965-070,68.05
1965-071,69.04
1965-072,70.03
1965-073,71.01
1965-074,72.0
1965-075,72.99
1965-076,73.97
1965-077,74.96
1965-078,75.95
1965-079,76.93
1965-080,77.92
1965-081,78.9
1965-082,79.89
1965-083,80.88
1965-084,81.86
1965-085,82.85
1965-086,83.84
1965-087,84.82
1965-088,85.81
1965-089,86.79
1965-090,87.78
1965-091,88.77
1965-092,89.75
1965-093,90.74
1965-094,91.73
1965-095,92.71
1965-096,93.7
1965-097,94.68
1965-098,95.67
1965-099,96.66
1965-100,97.64
1965-101,98.63
1965-102,99.62
1965-103,100.6
1965-104,101.59
1965-105,102.58
1965-106,103.56
1965-107,104.55
1965-108,105.53
1965-109,106.52
1965-110,107.51
1965-111,108.49
1965-112,109.48
1965-113,110.47
1965-114,111.45
1965-115,112.44
1965-116,113.42
1965-117,114.41
1965-118,115.4
1965-119,116.38
1965-120,117.37
1965-121,118.36
1965-122,119.34
1965-123,120.33
1965-124,121.32
1965-125,122.3
1965-126,123.29
1965-127,124.27
1965-128,125.26
1965-129,126.25
1965-130,127.23
1965-131,128.22
1965-132,129.21
1965-133,130.19
1965-134,131.18
1965-135,132.16
1965-136,133.15
1965-137,134.14
1965-138,135.12
1965-139,136.11
1965-140,137.1
1965-141,138.08
1965-142,139.07
1965-143,140.05
1965-144,141.04
1965-145,142.03
1965-146,143.01
1965-147,144.0
1965-148,144.99
1965-149,145.97
1965-150,146.96
1965-151,147.95
1965-152,148.93
1965-153,149.92
1965-154,150.9
1965-155,151.89
1965-156,152.88
1965-157,153.86
1965-158,154.85
1965-159,155.84
1965-160,156.82
1965-161,157.81
1965-162,158.79
1965-163,159.78
1965-164,160.77
1965-165,161.75
1965-166,162.74
1965-167,163.73
1965-168,164.71
1965-169,165.7
1965-170,166.68
1965-171,167.67
1965-172,168.66
1965-173,169.64
1965-174,170.63
1965-175,171.62
1965-176,172.6
1965-177,173.59
1965-178,174.58
1965-179,175.56
1965-180,176.55
1965-181,177.53
1965-182,178.52
1965-183,179.51
1965-184,180.49
1965-185,181.48
1965-186,182.47
1965-187,183.45
1965-188,184.44
1965-189,185.42
1965-190,186.41
1965-191,187.4
1965-192,188.38
1965-193,189.37
1965-194,190.36
1965-195,191.34
1965-196,192.33
1965-197,193.32
1965-198,194.3
1965-199,195.29
1965-200,196.27
1965-201,197.26
1965-202,198.25
1965-203,199.23
1965-204,200.22
1965-205,201.21
1965-206,202.19
1965-207,203.18
1965-208,204.16
1965-209,205.15
1965-210,206.14
1965-211,207.12
1965-212,208.11
1965-213,209.1
1965-214,210.08
1965-215,211.07
1965-216,212.05
1965-217,213.04
1965-218,214.03
1965-219,215.01
1965-220,216.0
1965-221,216.99
1965-222,217.97
1965-223,218.96
1965-224,219.95
1965-225,220.93
1965-226,221.92
1965-227,222.9
1965-228,223.89
1965-229,224.88
1965-230,225.86
1965-231,226.85
1965-232,227.84
1965-233,228.82
1965-234,229.81
1965-235,230.79
1965-236,231.78
1965-237,232.77
1965-238,233.75
1965-239,234.74
1965-240,235.73
1965-241,236.71
1965-242,237.7
1965-243,238.68
1965-244,239.67
1965-245,240.66
1965-246,241.64
1965-247,242.63
1965-248,243.62
1965-249,244.6
1965-250,245.59
1965-251,246.58
1965-252,247.56
1965-253,248.55
1965-254,249.53
1965-255,250.52
1965-256,251.51
1965-257,252.49
1965-258,253.48
1965-259,254.47
1965-260,255.45
1965-261,256.44
1965-262,257.42
1965-263,258.41
1965-264,259.4
1965-265,260.38
1965-266,261.37
1965-267,262.36
1965-268,263.34
1965-269,264.33
1965-270,265.32
1965-271,266.3
1965-272,267.29
1965-273,268.27
1965-274,269.26
1965-275,270.25
1965-276,271.23
1965-277,272.22
1965-278,273.21
1965-279,274.19
1965-280,275.18
1965-281,276.16
1965-282,277.15
1965-283,278.14
1965-284,279.12
1965-285,280.11
1965-286,281.1
1965-287,282.08
1965-288,283.07
1965-289,284.05
1965-290,285.04
1965-291,286.03
1965-292,287.01
1965-293,288.0
1965-294,288.99
1965-295,289.97
1965-296,290.96
1965-297,291.95
1965-298,292.93
1965-299,293.92
1965-300,294.9
1965-301,295.89
1965-302,296.88
1965-303,297.86
1965-304,298.85
1965-305,299.84
1965-306,300.82
1965-307,301.81
1965-308,302.79
1965-309,303.78
1965-310,304.77
1965-311,305.75
1965-312,306.74
1965-313,307.73
1965-314,308.71
1965-315,309.7
1965-316,310.68
1965-317,311.67
1965-318,312.66
1965-319,313.64
1965-320,314.63
1965-321,315.62
1965-322,316.6
1965-323,317.59
1965-324,318.58
1965-325,319.56
1965-326,320.55
1965-327,321.53
1965-328,322.52
1965-329,323.51
1965-330,324.49
1965-331,325.48
1965-332,326.47
1965-333,327.45
1965-334,328.44
1965-335,329.42
1965-336,330.41
1965-337,331.4
1965-338,332.38
1965-339,333.37
1965-340,334.36
1965-341,335.34
1965-342,336.33
1965-343,337.32
1965-344,338.3
1965-345,339.29
1965-346,340.27
1965-347,341.26
1965-348,342.25
1965-349,343.23
1965-350,344.22
1965-351,345.21
1965-352,346.19
1965-353,347.18
1965-354,348.16
1965-355,349.15
1965-356,350.14
1965-357,351.12
1965-358,352.11
1965-359,353.1
1965-360,354.08
1965-361,355.07
1965-362,356.05
1965-363,357.04
1965-364,358.03
1965-365,359.01
1966-001,0.0
1966-002,0.99
1966-003,1.97
1966-004,2.96
1966-005,3.95
1966-006,4.93
1966-007,5.92
1966-008,6.9
1966-009,7.89
1966-010,8.88
1966-011,9.86
1966-012,10.85
1966-013,11.84
1966-014,12.82
1966-015,13.81
1966-016,14.79
1966-017,15.78
1966-018,16.77
1966-019,17.75
1966-020,18.74
1966-021,19.73
1966-022,20.71
1966-023,21.7
1966-024,22.68
1966-025,23.67
1966-026,24.66
1966-027,25.64
1966-028,26.63
1966-029,27.62
1966-030,28.6
1966-031,29.59
1966-032,30.58
1966-033,31.56
1966-034,32.55
1966-035,33.53
1966-036,34.52
1966-037,35.51
1966-038,36.49
1966-039,37.48
1966-040,38.47
1966-041,39.45
1966-042,40.44
1966-043,41.42
1966-044,42.41
1966-045,43.4
1966-046,44.38
1966-047,45.37
1966-048,46.36
1966-049,47.34
1966-050,48.33
1966-051,49.32
1966-052,50.3
1966-053,51.29
1966-054,52.27
1966-055,53.26
1966-056,54.25
1966-057,55.23
1966-058,56.22
1966-059,57.21
1966-060,58.19
1966-061,59.18
1966-062,60.16
1966-063,61.15
1966-064,62.14
1966-065,63.12
1966-066,64.11
1966-067,65.1
1966-068,66.08
1966-069,67.07
1966-070,68.05
1966-071,69.04
1966-072,70.03
1966-073,71.01
1966-074,72.0
1966-075,72.99
1966-076,73.97
1966-077,74.96
1966-078,75.95
1966-079,76.93
1966-080,77.92
1966-081,78.9
1966-082,79.89
1966-083,80.88
1966-084,81.86
1966-085,82.85
1966-086,83.84
1966-087,84.82
1966-088,85.81
1966-089,86.79
1966-090,87.78
1966-091,88.77
1966-092,89.75
1966-093,90.74
1966-094,91.73
1966-095,92.71
1966-096,93.7
1966-097,94.68
1966-098,95.67
1966-099,96.66
1966-100,97.64
1966-101,98.63
1966-102,99.62
1966-103,100.6
1966-104,101.59
1966-105,102.58
1966-106,103.56
1966-107,104.55
1966-108,105.53
1966-109,106.52
1966-110,107.51
1966-111,108.49
1966-112,109.48
1966-113,110.47
1966-114,111.45
1966-115,112.44
1966-116,113.42
1966-117,114.41
1966-118,115.4
1966-119,116.38
1966-120,117.37
1966-121,118.36
1966-122,119.34
1966-123,120.33
1966-124,121.32
1966-125,122.3
1966-126,123.29
1966-127,124.27
1966-128,125.26
1966-129,126.25
1966-130,127.23
1966-131,128.22
1966-132,129.21
1966-133,130.19
1966-134,131.18
1966-135,132.16
1966-136,133.15
1966-137,134.14
1966-138,135.12
1966-139,136.11
1966-140,137.1
1966-141,138.08
1966-142,139.07
1966-143,140.05
1966-144,141.04
1966-145,142.03
1966-146,143.01
1966-147,144.0
1966-148,144.99
1966-149,145.97
1966-150,146.96
1966-151,147.95
1966-152,148.93
1966-153,149.92
1966-154,150.9
1966-155,151.89
1966-156,152.88
1966-157,153.86
1966-158,154.85
1966-159,155.84
1966-160,156.82
1966-161,157.81
1966-162,158.79
1966-163,159.78
1966-164,160.77
1966-165,161.75
1966-166,162.74
1966-167,163.73
1966-168,164.71
1966-169,165.7
1966-170,166.68
1966-171,167.67
1966-172,168.66
1966-173,169.64
1966-174,170.63
1966-175,171.62
1966-176,172.6
1966-177,173.59
1966-178,174.58
1966-179,175.56
1966-180,176.55
1966-181,177.53
1966-182,178.52
1966-183,179.51
1966-184,180.49
1966-185,181.48
1966-186,182.47
1966-187,183.45
1966-188,184.44
1966-189,185.42
1966-190,186.41
1966-191,187.4
1966-192,188.38
1966-193,189.37
1966-194,190.36
1966-195,191.34
1966-196,192.33
1966-197,193.32
1966-198,194.3
1966-199,195.29
1966-200,196.27
1966-201,197.26
1966-202,198.25
1966-203,199.23
1966-204,200.22
1966-205,201.21
1966-206,202.19
1966-207,203.18
1966-208,204.16
1966-209,205.15
1966-210,206.14
1966-211,207.12
1966-212,208.11
1966-213,209.1
1966-214,210.08
1966-215,211.07
1966-216,212.05
1966-217,213.04
1966-218,214.03
1966-219,215.01
1966-220,216.0
1966-221,216.99
1966-222,217.97
1966-223,218.96
1966-224,219.95
1966-225,220.93
1966-226,221.92
1966-227,222.9
1966-228,223.89
1966-229,224.88
1966-230,225.86
1966-231,226.85
1966-232,227.84
1966-233,228.82
1966-234,229.81
1966-235,230.79
1966-236,231.78
1966-237,232.77
1966-238,233.75
1966-239,234.74
1966-240,235.73
1966-241,236.71
1966-242,237.7
1966-243,238.68
1966-244,239.67
1966-245,240.66
1966-246,241.64
1966-247,242.63
1966-248,243.62
1966-249,244.6
1966-250,245.59
1966-251,246.58
1966-252,247.56
1966-253,248.55
1966-254,249.53
1966-255,250.52
1966-256,251.51
1966-257,252.49
1966-258,253.48
1966-259,254.47
1966-260,255.45
1966-261,256.44
1966-262,257.42
1966-263,258.41
1966-264,259.4
1966-265,260.38
1966-266,261.37
1966-267,262.36
1966-268,263.34
1966-269,264.33
1966-270,265.32
1966-271,266.3
1966-272,267.29
1966-273,268.27
1966-274,269.26
1966-275,270.25
1966-276,271.23
1966-277,272.22
1966-278,273.21
1966-279,274.19
1966-280,275.18
1966-281,276.16
1966-282,277.15
1966-283,278.14
1966-284,279.12
1966-285,280.11
1966-286,281.1
1966-287,282.08
1966-288,283.07
1966-289,284.05
1966-290,285.04
1966-291,286.03
1966-292,287.01
1966-293,288.0
1966-294,288.99
1966-295,289.97
1966-296,290.96
1966-297,291.95
1966-298,292.93
1966-299,293.92
1966-300,294.9
1966-301,295.89
1966-302,296.88
1966-303,297.86
1966-304,298.85
1966-305,299.84
1966-306,300.82
1966-307,301.81
1966-308,302.79
1966-309,303.78
1966-310,304.77
1966-311,305.75
1966-312,306.74
1966-313,307.73
1966-314,308.71
1966-315,309.7
1966-316,310.68
1966-317,311.67
1966-318,312.66
1966-319,313.64
1966-320,314.63
1966-321,315.62
1966-322,316.6
1966-323,317.59
1966-324,318.58
1966-325,319.56
1966-326,320.55
1966-327,321.53
1966-328,322.52
1966-329,323.51
1966-330,324.49
1966-331,325.48
1966-332,326.47
1966-333,327.45
1966-334,328.44
1966-335,329.42
1966-336,330.41
1966-337,331.4
1966-338,332.38
1966-339,333.37
1966-340,334.36
1966-341,335.34
1966-342,336.33
1966-343,337.32
1966-344,338.3
1966-345,339.29
1966-346,340.27
1966-347,341.26
1966-348,342.25
1966-349,343.23
1966-350,344.22
1966-351,345.21
1966-352,346.19
1966-353,347.18
1966-354,348.16
1966-355,349.15
1966-356,350.14
1966-357,351.12
1966-358,352.11
1966-359,353.1
1966-360,354.08
1966-361,355.07
1966-362,356.05
1966-363,357.04
1966-364,358.03
1966-365,359.01
1967-001,0.0
1967-002,0.99
1967-003,1.97
1967-004,2.96
1967-005,3.95
1967-006,4.93
1967-007,5.92
1967-008,6.9
1967-009,7.89
1967-010,8.88
1967-011,9.86
1967-012,10.85
1967-013,11.84
1967-014,12.82
1967-015,13.81
1967-016,14.79
1967-017,15.78
1967-018,16.77
1967-019,17.75
1967-020,18.74
1967-021,19.73
1967-022,20.71
1967-023,21.7
1967-024,22.68
1967-025,23.67
1967-026,24.66
1967-027,25.64
1967-028,26.63
1967-029,27.62
1967-030,28.6
1967-031,29.59
1967-032,30.58
1967-033,31.56
1967-034,32.55
1967-035,33.53
1967-036,34.52
1967-037,35.51
1967-038,36.49
1967-039,37.48
1967-040,38.47
1967-041,39.45
1967-042,40.44
1967-043,41.42
1967-044,42.41
1967-045,43.4
1967-046,44.38
1967-047,45.37
1967-048,46.36
1967-049,47.34
1967-050,48.33
1967-051,49.32
1967-052,50.3
1967-053,51.29
1967-054,52.27
1967-055,53.26
1967-056,54.25
1967-057,55.23
1967-058,56.22
1967-059,57.21
1967-060,58.19
1967-061,59.18
1967-062,60.16
1967-063,61.15
1967-064,62.14
1967-065,63.12
1967-066,64.11
1967-067,65.1
1967-068,66.08
1967-069,67.07
1967-070,68.05
1967-071,69.04
1967-072,70.03
1967-073,71.01
1967-074,72.0
1967-075,72.99
1967-076,73.97
1967-077,74.96
1967-078,75.95
1967-079,76.93
1967-080,77.92
1967-081,78.9
1967-082,79.89
1967-083,80.88
1967-084,81.86
1967-085,82.85
1967-086,83.84
1967-087,84.82
1967-088,85.81
1967-089,86.79
1967-090,87.78
1967-091,88.77
1967-092,89.75
1967-093,90.74
1967-094,91.73
1967-095,92.71
1967-096,93.7
1967-097,94.68
1967-098,95.67
1967-099,96.66
1967-100,97.64
1967-101,98.63
1967-102,99.62
1967-103,100.6
1967-104,101.59
1967-105,102.58
1967-106,103.56
1967-107,104.55
1967-108,105.53
1967-109,106.52
1967-110,107.51
1967-111,108.49
1967-112,109.48
1967-113,110.47
1967-114,111.45
1967-115,112.44
1967-116,113.42
1967-117,114.41
1967-118,115.4
1967-119,116.38
1967-120,117.37
1967-121,118.36
1967-122,119.34
1967-123,120.33
1967-124,121.32
1967-125,122.3
1967-126,123.29
1967-127,124.27
1967-128,125.26
1967-129,126.25
1967-130,127.23
1967-131,128.22
1967-132,129.21
1967-133,130.19
1967-134,131.18
1967-135,132.16
1967-136,133.15
1967-137,134.14
1967-138,135.12
1967-139,136.11
1967-140,137.1
1967-141,138.08
1967-142,139.07
1967-143,140.05
1967-144,141.04
1967-145,142.03
1967-146,143.01
1967-147,144.0
1967-148,144.99
1967-149,145.97
1967-150,146.96
1967-151,147.95
1967-152,148.93
1967-153,149.92
1967-154,150.9
1967-155,151.89
1967-156,152.88
1967-157,153.86
1967-158,154.85
1967-159,155.84
1967-160,156.82
1967-161,157.81
1967-162,158.79
1967-163,159.78
1967-164,160.77
1967-165,161.75
1967-166,162.74
1967-167,163.73
1967-168,164.71
1967-169,165.7
1967-170,166.68
1967-171,167.67
1967-172,168.66
1967-173,169.64
1967-174,170.63
1967-175,171.62
1967-176,172.6
1967-177,173.59
1967-178,174.58
1967-179,175.56
1967-180,176.55
1967-181,177.53
1967-182,178.52
1967-183,179.51
1967-184,180.49
1967-185,181.48
1967-186,182.47
1967-187,183.45
1967-188,184.44
1967-189,185.42
1967-190,186.41
1967-191,187.4
1967-192,188.38
1967-193,189.37
1967-194,190.36
1967-195,191.34
1967-196,192.33
1967-197,193.32
1967-198,194.3
1967-199,195.29
1967-200,196.27
1967-201,197.26
1967-202,198.25
1967-203,199.23
1967-204,200.22
1967-205,201.21
1967-206,202.19
1967-207,203.18
1967-208,204.16
1967-209,205.15
1967-210,206.14
1967-211,207.12
1967-212,208.11
1967-213,209.1
1967-214,210.08
1967-215,211.07
1967-216,212.05
1967-217,213.04
1967-218,214.03
1967-219,215.01
1967-220,216.0
1967-221,216.99
1967-222,217.97
1967-223,218.96
1967-224,219.95
1967-225,220.93
1967-226,221.92
1967-227,222.9
1967-228,223.89
1967-229,224.88
1967-230,225.86
1967-231,226.85
1967-232,227.84
1967-233,228.82
1967-234,229.81
1967-235,230.79
1967-236,231.78
1967-237,232.77
1967-238,233.75
1967-239,234.74
1967-240,235.73
1967-241,236.71
1967-242,237.7
1967-243,238.68
1967-244,239.67
1967-245,240.66
1967-246,241.64
1967-247,242.63
1967-248,243.62
1967-249,244.6
1967-250,245.59
1967-251,246.58
1967-252,247.56
1967-253,248.55
1967-254,249.53
1967-255,250.52
1967-256,251.51
1967-257,252.49
1967-258,253.48
1967-259,254.47
1967-260,255.45
1967-261,256.44
1967-262,257.42
1967-263,258.41
1967-264,259.4
1967-265,260.38
1967-266,261.37
1967-267,262.36
1967-268,263.34
1967-269,264.33
1967-270,265.32
1967-271,266.3
1967-272,267.29
1967-273,268.27
1967-274,269.26
1967-275,270.25
1967-276,271.23
1967-277,272.22
1967-278,273.21
1967-279,274.19
1967-280,275.18
1967-281,276.16
1967-282,277.15
1967-283,278.14
1967-284,279.12
1967-285,280.11
1967-286,281.1
1967-287,282.08
1967-288,283.07
1967-289,284.05
1967-290,285.04
1967-291,286.03
1967-292,287.01
1967-293,288.0
1967-294,288.99
1967-295,289.97
1967-296,290.96
1967-297,291.95
1967-298,292.93
1967-299,293.92
1967-300,294.9
1967-301,295.89
1967-302,296.88
